Account,Display Name,Example Series Names,Pattern Types Matched,Occurrences,Distinct Posts
metelesazonparty,,Métele Sazón: La Cultura Edition,repeated branded name,20,2
lolahoboken,THE LOLA,WEEKEND NIGHTS AT LOLA; OPEN MIC WEDNESDAYS; COMEDY THURSDAYS; LIVE MUSIC FRIDAYS; DJ SATURDAYS,"day-of-week plural, recurrence keyword",20,3
king___jamez,Uncle jamez,ISLAND vs AFRICA; @liblivinglegend B-Day bash,repeated branded name,20,1
_artyj_,Artyj,DJ Wallah Birthday Party; DJ Wallah Celebrity Birthday Bash,repeated branded name,20,2
thevoiceofsts,DJH FOREVER,Valentines Day Party; GRWN & SEXY WATERPARK TAKEOVA LOVERS & FRIENDS Valentine's Day Party,repeated branded name,20,2
mykill_a,Mykill,"Bottomless Mimosas; Fine BRUNCH EXPERIENCE Brunch, Reimagined: A West African Culinary Journey",repeated branded name,20,1
bundlesfvg,TOP ROW BABY💜,JERSEY; Monique's Birthday,repeated branded name,20,1
mykevision,I a n Michael,@autotopiapr PT III; AUTO TOPIA FIRST ROUND,repeated branded name,20,2
yazz.kill,,Basketball,repeated branded name,20,1
yellow_taxi_podcast,yellow taxi podcast,Victoria's Secret Fashion Show,repeated branded name,20,1
butlerwsoccer,Butler Women's Soccer,Talia Sommer Signs with Gotham FC,repeated branded name,20,1
iamcurlygen,Genesis Ramirez,Curly Gen’s Birthday,repeated branded name,20,1
afromix_ent,AfroMix Entertainment,NEW YEAR’S EVE AFROBEATS EXPERIENCE,repeated branded name,20,1
afrobeatnkompa_,Afrobeat & Kompa,Tuesday After Work,repeated branded name,20,1
lillymspeaks,Lilly M. | Astrology & Shadow Work 🪬✨,Sessions with Lilly M.,repeated branded name,20,1
michaelskolnik,Michael Skolnik,2025 NWSL Championship,repeated branded name,20,1
dmdenose,Dan M. De Nose Speaker + CEO,Intergrity House annual gala,repeated branded name,20,1
boozybrushes.nj,BOOZY BRUSHES,Sip & Paint: Glass Coffee Cups,repeated branded name,20,1
gloglomakeup,gloglomakeup,13th Annual Makeup Artists & Hair Stylists Guild Awards 2025 Voting Deadline,repeated branded name,20,1
southjerseyalphas,Nu Gamma Lambda,Founders Day 2025,repeated branded name,20,1
hydleburgco,Brandi Hydleburg,LeveledUpNYC Holiday Soirée,repeated branded name,20,1
997rob,Robbie ツ,Mystery at the Groo,repeated branded name,20,1
exotic.__jaja,MrProveThemWrongSF🤙🏾,Warm Hearts for a Cold Winter,repeated branded name,20,1
jayysolesproduction,,#1 Spanglish Party in New Jersey,repeated branded name,20,1
_firebae,Gaddafi Wears Gucci,Empowerment Gathering,repeated branded name,20,1
centralparknj,Central Park • NJ Sports Bar,White Lies Party; YOUNG. WILD. FREE.,repeated branded name,20,3
bedstuywalls,BEDSTUY WALLS,LAST MAN - FIRST LOVE movie release in Japan,repeated branded name,20,3
crabbaecatering,alex jones,Rasta Bae,repeated branded name,20,1
jerseycityhappyhours,Jersey City Happy Hours,Historic Downtown Farmers Market,repeated branded name,20,4
davids_touch_foundation,David's Touch Foundation,David’s Touch Holiday Toy Drive,repeated branded name,20,1
peopleshistorynj,PeoplesHistoryNJ,Noble Drew Ali founded his first temple in Newark; Noble Drew Ali's Birthday,repeated branded name,20,1
gatewayunj,Gateway U,Gateway U Open House,repeated branded name,20,1
chh.thehub,𝑪𝒉𝒓𝒊𝒔𝒕𝒊𝒂𝒏 𝑯𝒊𝒑 𝑯𝒐𝒑 𝑯𝒖𝒃 | Media & News,Music Review Livestream; The Eden Hour Playlists,repeated branded name,20,1
brains_on,Brains On! Universe,Brains On LIVE in NJ!,repeated branded name,20,1
shotbyshadeed,𝗦𝗛𝗔𝗗𝗘𝗘𝗗. 𝗣𝗵𝗼𝘁𝗼𝗴𝗿𝗮𝗽𝗵𝘆,2 Years of Open Heart Poetry; Karaoke Game Night,repeated branded name,19,4
husstheking,Huss The King,Capricorn Celebration,repeated branded name,18,4
thecraftclubnj,Workshops - Pop ups - Private Events,patch bar; Asbury Park Valentine boutique crawl patch bar,repeated branded name,18,2
lynbrown525,Lyn Brown,SEASON OF SOUL; UNORTHODOX COMEDY SERIES; UNORTHODOX COMEDY SERIES: LYN BROWN &; Unorthodox Comedy MLK Weekend No Work Monday; Unorthodox Comedy Series: Lyn Brown &,"recurrence keyword, repeated branded name",18,4
tennesiasmethod,TENNESIA’S METHOD | NJ SOCIAL MEDIA AGENCY,TM IRL,repeated branded name,18,5
thee_owtest,,The Official Probate After Party,repeated branded name,18,3
troyjitsu,Coach Troy 🐺🏴‍☠️,Jiu Jitsu World League Finals East,repeated branded name,18,4
jessicaboogiebaby,Jessica Boogie,Date Night Dance Class; Sunday Line Dance Classes; Dance Classes,repeated branded name,18,1
slickyousomaxx,DJ KAYSLICK 🇬🇾,FEEL GOOD FRIDAYS; WILD OUT WEDNESDAYS; MANY NIGHTS; Feel Good Fridays; Wild Out Wednesdays,"day-of-week plural, recurrence keyword, repeated branded name",18,4
newarkgrounds,Newark Grounds,Constellation Bench: Community Collage and Painting Workshop; Constellation Bench Workshop with artist Eirini Linardaki,repeated branded name,18,2
zyeerglizzy,ZY GLIZZ🧩,Super Bowl Watch Party; Patriots Day Party; Seahawks Party,repeated branded name,18,1
girlslovetopartyy,Girls Love to Party,Friendsmas Brunch After Dark PJ/Ugly Sweater Party with Hip-Hop & R&B Bingo,repeated branded name,18,1
willianaashley,WILLIANA ✨,WEEKLY EVENTS; WEEKLY NEW JERSEY EVENTS; Weekly Events; Weekly New Jersey Events,recurrence keyword,18,5
bluespeepz,BLUES People,New Years Eve with The Blues People!,repeated branded name,18,2
wearecrownd,The Golden Standard,Love at First Touch,repeated branded name,17,5
kwame_fresh,,NYE 2025 GRAND REOPENING,repeated branded name,17,2
iamtrix_,TRIX,Ashanti Live,repeated branded name,17,6
laurenlebeaux,"Lauren LeBeaux, Sacred Goddess ✨",Brown Girls Bar Crawl,repeated branded name,17,5
theguze,Uzo,US Open Tennis Championships,repeated branded name,17,3
nwktreehouse,Newark Treehouse,New Year's Eve Pop-Up Party,repeated branded name,16,1
ahbigproblem___,Nadia �,Birthday Party,repeated branded name,16,1
mountainjamband,MJB - Allman Brothers Tribute,100th Show Celebration; 100th Show,repeated branded name,16,3
the_fumeenoir,Fumee Noir,Karaoke + cigars on the patio,repeated branded name,16,3
safety_promo,SAFETY PROMO,Haïti Tech Connect Awards 2025 - Prix de la créativité et de l’innovation médiatique,repeated branded name,16,3
zomorese,The Legacy 🎙️,"THE MAKING OF ""PRETTY & WINNING"" EXCLUSIVE",repeated branded name,16,2
toshkachadmusic,TOSH KACHAD,Tosh Kachad Trio,repeated branded name,16,2
mad_entertainments.us,Music And Dance Entertainments,Valentines Eve Tolly-Bolly; Valentine's Party: Bollywood vs. Tollywood,repeated branded name,16,3
techvize,©️TechVize,Nvidia to build $1.5B AI campus in Israel,repeated branded name,16,2
ulimoceo,John Snee,"Startup and Technology Classes, English Lessons",repeated branded name,16,3
biggz_iam,NYC PARTY P R I N C E👑,IAMBRIMES X JACKTRVDES Official Birthday Celebration,repeated branded name,16,1
thenewarktimes,The Newark Times,Downtown Newark Santa Bar Crawl,repeated branded name,16,1
thebeat1051,The Beat 105.1 - Atlantic City,The Beat of the Beach,repeated branded name,16,1
tcp.ent,Team Cypher Promotions x Entertainment,Join Team Chyper Promotions X entertainment,repeated branded name,16,1
moniquejbass,Monique J. Bass,What's Behind The Bra? & Heart of the Spectrum Board of Directors Luncheon,repeated branded name,16,1
anchorrockclub,Anchor Rock Club,Tu Lucha Es Mi Lucha - A Dance Party for Immigrant Rights,repeated branded name,16,1
whomag,Rob Schwartz,DJ Jay Ski,repeated branded name,16,1
xstasypromotions,XSTASY PROMOTIONS 📲,HOLIDAY X THE NIGHT AFTER CHRISTMAS PARTY,repeated branded name,16,1
tcuwbb,TCU Women's Basketball,TCU Women's Basketball Game; TCU vs Ohio State (Coretta Scott King Classic),repeated branded name,16,2
beyoga_southjersey,BE Yoga Wellness Network 🧘🏾‍♀️,Yoga,repeated branded name,16,2
letsgosubmissionx4,丂ㄩ乃乃ㄚ,Pajama Wars 4,repeated branded name,16,2
unklechip,Chip Fernandez™,Deeply Rooted,repeated branded name,16,1
sarajaynephotographyllc,South Jersey Photographer,Kevin & Abby’s Wedding,repeated branded name,16,1
yb.fly_,Young Bosses LLC 💎,Christmas Game Night,repeated branded name,16,1
550mega,,NEW JERSEY'S SEXIEST NYE EVENT ROMANA GRAND REOPENING,repeated branded name,16,1
deejaymirr,She’s a 🧚 out now click the link in bio😌,WILD-N-OUT,repeated branded name,16,3
riversphotoofficial,NJ Photographer,Holiday Give Back,repeated branded name,16,1
essenceofbelle,Belle,Friendmas w/ my Soul Sistas,repeated branded name,16,1
knightsnightlife,Knights Nightlife,Thursdays at Knights Pub; 2016 Themed Night,"day-of-week plural, repeated branded name",16,2
datdesigns.jr,Mike Dat,PhillyCreate 26’ Skate Edition - Part 1; PhillyCreate 26’ Skate Edition - Part 2,repeated branded name,16,2
lamarmalik,Lamar Malik,Vision 26’,repeated branded name,16,2
simbazilla,SimbaZilla-kun,ZILLA & FRIENDS COOKOUT,repeated branded name,15,2
djsaint999,DJ$aint,YOUNG. WILD. FREE.; Winter Wonderland,repeated branded name,15,3
zillafriendsnyc,Zilla & Friends,Zilla & Friends Cookout,repeated branded name,15,2
sneakpeeksessions,SNEAKPEEK,Jumpstart Your Year Through Wellness With Financial and Career Wellness Workshops,repeated branded name,15,5
eatmetalstudio,eatmetalstudio,DIY Workshop Decanter Labels,repeated branded name,15,3
dark.loud.jc,dark.loud,NYE 2026,repeated branded name,15,2
itsreallylorenzo,LORENZO,THE NOIR EXHIBIT; the noir exhibit,repeated branded name,15,3
my_crumbled_thoughts,Jasmine Rosario,The Brooklyn Grammy's Where Orange is the New Black,repeated branded name,15,4
gulbergbistro,Gulberg Bistro,Gulberg Night,repeated branded name,15,2
rarestofflowers,Najmah Nash,Birthday,repeated branded name,15,4
chillkeyport,CHILL BAR & LOUNGE,NO LIMIT PONG THURSDAYS; No Limit Pong Thursdays,day-of-week plural,14,7
parkave__pootie,Pootie Wilder,Birthday Celebration,repeated branded name,14,1
loversfriendsrnb,LOVERS & FRIENDS: R&B BRUNCH EXPERIENCE,Lovers & Friends: R&B Brunch Experience,repeated branded name,14,1
hurleythedeveloper,D. Hurley,Executive Business Accelerator Program Graduation,repeated branded name,14,1
iamjcdj90,Juan Carlos,EL ULTIMO BAILE EN LUNES,repeated branded name,14,1
stevieraypunk,Stephen Gritzan,All About Downtown street fair,repeated branded name,14,1
jayblendzofficial,DJ JAY BLENDZ 🇭🇹,RNB ME PLEASE! THURSDAYS; RnB Me Please! Thursdays,day-of-week plural,14,6
selfmadecovy,DJ COVY 🐐🌎🚀 BIGFISH🤞🏾,CRASH OUT SUNDAYS; Crash Out Sundays,day-of-week plural,14,6
queencityfilmfestnj,QUEEN CITY FILM FEST (NJ),SCREENTALK NJ SEASON 4 KICKOFF FEATURING SET HER FREE; ScreenTalk NJ Season 4 Kickoff featuring SET HER FREE,recurrence keyword,14,2
stilltippinparty,Still Tippin: A Southern Music Experience,Still Tippin: A Southern Music Experience Part 3; STILL TIPPIN’ | TRAP KARAOKE EDITION,repeated branded name,14,2
melaninmaternal,Melanin and Maternal Wellness,Maternal Health Awareness Day | Womban Wellness 2026; Womban Wellness,repeated branded name,14,2
elevatesocial,Elevate Social,Dance and Go Home,repeated branded name,14,1
njweedmansjointrestaurant,Njweedman's Joint,Last Saturday Night of 2025,repeated branded name,14,1
barlosdrinks_908,Neg Fresco'a,"FRESKO'N'LAUGHTER; KOMPAVILLE ""A VALENTINES DAY SPECIAL""",repeated branded name,14,2
rappersrecipe,Planet Marz Kitchen,Birria Mac & Cheese Step by Step,repeated branded name,14,2
gsmitty3,G Light 💡,STARDOM private screening,repeated branded name,14,1
xvpw_yt,Xtreme Virtual Pro Wrestling,Battle in Nippon (PART 1),repeated branded name,14,1
darek_michael,Darek Michael Wajda,NJ-CRC Board Meeting - Consideration of Adult-Use Cannabis Applications,repeated branded name,14,1
nasboogie,Chi-₦a-Sokwu  🌍🏄🏾‍♂️🇳🇬,PVO Global Mental Wellness Mixer,repeated branded name,14,1
tokyobronx_kuvrooma,Toyko Bronx- KuVROOMa,Drift Battle,repeated branded name,14,1
vipersmedia,,Scripted Christmas Cruise,repeated branded name,14,1
officialbigtruth,𝐼𝑡𝑠𝑌𝑎𝐵𝑜𝑖𝑇𝑟𝑢𝑡ℎ,BigTruth Live Performance Showcase,repeated branded name,14,1
blaquebuzz_,BLAQUE BUZZ™️,The Weeknd was the highest paid artist of 2025,repeated branded name,14,1
talentbalance,,TNB Jayy Talks About The Creator Lifestyle,repeated branded name,14,1
indiepro_eli76,Elijah Matthews,Road to LA artists competition,repeated branded name,14,1
thelibraryceo,Corey “OG” Dishmen ⚡️⚡️🇮🇹🇭🇹🏴‍☠️,Expungement Clinic,repeated branded name,14,1
livinlavishlola,Nigerian bratz doll 🇳🇬🥰,New Years Eve,repeated branded name,14,1
aurwayart,AURWAY,NJPAC Annual Community Service Award,repeated branded name,14,1
thierry_enterprises,,Black Is Beautiful Brunch,repeated branded name,14,1
bergen_hall,,New Years Day Pajama Brunch,repeated branded name,14,1
charmcityslam,CharmCityslam,Tag-Team Slam,repeated branded name,14,1
martifarrousa,Marti Farro,Marti Farro Live Music,repeated branded name,14,1
justfish_bar_n_grill_,GARY,LIVE R&B FRIDAYS,day-of-week plural,14,8
sophiasdaughter_,DivineSound,Sophia's Spooky Soiree Night 2,repeated branded name,14,1
letterbylaura,Laura Miller,NYE Disco Rodeo,repeated branded name,14,1
rhythm_house_us,Rhythm House Us,New Years Lockdown- 24 Hours Inside The Vault,repeated branded name,14,1
everydaylegendsfoundation,Jaylen McClain & Family Foundation,The Art of Ball,repeated branded name,14,1
goalusa_,GOAL USA,GOAL Rated - Social Team of the Year,repeated branded name,14,1
sexxylexxy1,Sexxy Lexxy 💎,30th Birthday Celebration,repeated branded name,14,1
cantswitch138,BIGCANTSWITCH 💪,OFFICAL DROP DATE,repeated branded name,14,1
caramelexoticcandy,Cha Chi,New Year’s Day — Hangover Karaoke Edition,repeated branded name,14,1
djcapone_nyc,Dermel Bonaparte,DJ Capone's 50th Birthday Party,repeated branded name,14,1
eightindianbistro,Eight Indian Bistro,"New Year, New Beginnings Wine Pairing",repeated branded name,14,1
downhill_hadd,Hadd,The J5 R&B Experience,repeated branded name,14,1
dejavuloungerd_,Dejavú Terrace & Lounge ⚜️,X-MAS Saturday Party,repeated branded name,14,1
annilysee,Prince$$,NASTY NAZZZ BIRTHDAY BASH; Kiiingnel Birthday Celebration,repeated branded name,14,3
cdspublicspaces,Commercial District Services,Happy New Year,repeated branded name,14,1
karaokeandvibez,KARAOKE and VIBEZ,Karaoke Game NIGHT,repeated branded name,14,2
ar_dakid,A-R🧍🏻‍♂️,Dembow Party,repeated branded name,14,3
djweswill,#IWorkDaily,"OLD SCHOOL vs NEW SCHOOL
THE DIVINE 9
FOUNDERS Brunch",repeated branded name,14,2
euniquerinkofficial,Eunique Rink,Holiday Toy Giveaway,repeated branded name,14,1
capemaywinery,Cape May Winery & Vineyard,Happy Hours,repeated branded name,14,1
mattmattic,Matthew Rodriguez,Casa De Mattic Clash of Celebrations! A Day Party Celebrating All December & January Birthdays,repeated branded name,14,1
mugic.us,Mugic.us Records,Mugic Records takeover,repeated branded name,14,1
stewsauce,Austin Stewart,Soundwav Festival - BLVCKWIDOWDVBS Debut Set,repeated branded name,14,1
_moettt,Lee’vion,Christmas Shooting,repeated branded name,14,1
yaboy.gus,Gus,REP YOUR FLAG,repeated branded name,14,1
doitalluniversity,Doitall University,You Can Do It All Book Signing and Meet & Greet,repeated branded name,14,1
proseapparelnj,Mr. Pro Sé,Shakur Stevenson vs Teofimo Lopez Title Fight,repeated branded name,14,1
new_direction360,School of Change est2021,Level Up Leadership Youth Workshop,repeated branded name,14,1
tocrestaurant_catering,Taste Of The Caribbean,New Year's Catering Menu,repeated branded name,14,1
marviemahrukh,Marvie & Mahrukh | Experiential Studio,The Monthly Pour: Official Unofficial Pre-Maanu Coffeehouse Gathering; Made with Love,repeated branded name,14,2
rudegalb,B. 🫧,Vincy Carnival,repeated branded name,14,1
thetasteofbrazilnewark,THE TASTE OF BRAZIL,LIVE MUSIC SERIES; Live Music Series,recurrence keyword,14,4
johnalvesjr,𝓙𝓸𝓱𝓷 𝓐𝓵𝓿𝓮𝓼 𝓙𝓻,LIVE MUSIC SUNDAYS; John's Birthday Party; Live Music Sundays,"day-of-week plural, repeated branded name",14,2
powersonprotection,Powerson Protection,Jam Fest 2026,repeated branded name,13,3
zentimacyoga,Zentimacy Yoga Studio & Event Space,The Couples Yoga Experience,repeated branded name,13,2
wildwildwestac,The West AC,CHAVAL DE LA BACHATA,repeated branded name,13,3
trixandzeke,Trix & Zeke,GIRLS NIGHT OUT,repeated branded name,13,4
eveningwithcomedy,An Evening With Comedy,One Night Stand with The Grind & An Evening With Comedy,repeated branded name,13,2
pop_up_social,Pop Up Social,SPEED CRAFTING & COCKTAILS,repeated branded name,13,3
thescapepartyy_,Official Scape Party,NOCHE DE FUEGO,repeated branded name,13,2
x5ivestar,FIVESTAR CREATIVE CO.,THE MOGUL’S BRUNCH II; THE MOGUL'S BRUNCH II; The Mogul's Brunch II,repeated branded name,13,8
goldensilkbeverages,GOLDEN SILK BEVERAGES,Mango Lassi Availability,repeated branded name,12,2
princetonballetschool,PRINCETON BALLET SCHOOL,SNOW WHITE; Snow White,repeated branded name,12,1
newarkffr,NEWARK FIRST FRIDAYS,NEWARK FIRST FRIDAYS SOFT LAUNCH; Newark First Fridays Soft Launch,day-of-week plural,12,1
allureloungenj,ALLURE LOUNGE,MOTHER'S DAY BASH; Mother's Day Bash,repeated branded name,12,3
billygenee,BILLY GENE 🧬,SUNDAYS ARE FOR R&B; CHROMASOUNDS RADIO SERIES RECORDING; Sundays are for R&B; ChromaSounds Radio Series Recording,"day-of-week plural, recurrence keyword",12,5
innovativeimpactnj,Innovative Impact NJ,K.I.W.I. Project (Keepin' In-Touch With Inmates),repeated branded name,12,1
ripecreatives,,2 Lines Philly Open Mic,repeated branded name,12,1
vybz_steinway,VYBZ ASTORIA,International Fridays,"day-of-week plural, repeated branded name",12,1
brandnewtattoo,BrandNewTattoo&Gallery,Charity Drive Donation Extension,repeated branded name,12,1
ionnwsl,NWSL on ION,2025 NWSL CHAMPIONSHIP,repeated branded name,12,1
jctechmeetup,Jersey City Tech Meetup,New Year. New Connections.,repeated branded name,12,1
lmmnt_,ŁMMNTYUSODIFFERENT💿✨,All Black New Year Glow Party,repeated branded name,12,1
_xoxbritt,"Brittany, MPA",Baby turns 30!,repeated branded name,12,1
commongroundgriefcenter,Common Ground Grief Center,Clambake,repeated branded name,12,1
morefiyah_dreadd,More Fiyah,Official Capricorn Celebration,repeated branded name,12,1
myconsciouseats,Conscious Eats,The Creative Launchpad: A Mixer & Panel for Creatives Building Beyond the 9-5,repeated branded name,12,2
thedesignbar_interiors,Interiors + Hospitality Designer | Kelly Woodyard | Nationwide,Mic Drop Karaoke,repeated branded name,12,1
indivisibleempathyunited,Indivisible: Empathy United,ICE OUT FOR GOOD,repeated branded name,12,2
sha225si,Sha225si,"""SAY GRACE OR CROWN ME KING""",repeated branded name,12,2
coach___luca,,TEEN PARTY,repeated branded name,12,1
detailsbymsdawn,Ms Dawn,Ms Dawn’s “Sweet 16” 2026 Anniversary & Client Appreciation Event,repeated branded name,12,1
steamrollerlady,Rachel Richard,Astra Lumina,repeated branded name,12,1
hssportsnj,NJ High School Sports,Anthony Knox commits to Rutgers,repeated branded name,12,1
eddiegrandnj,Eddie Grand Is Here!,Winter Wonderland,repeated branded name,12,1
phillycreate,Philly Create,the Retro Skate Party,repeated branded name,12,1
selfmagazine,SELF,"Money Rx, SELF’s monthly financial checkup",repeated branded name,12,1
njsmokesvapes,Smoke House Lounge,Ladies Night,repeated branded name,12,1
shandysbutters,"Shandy's Beard & Body Butters, LLC",Pre-Valentine Body Butter Experience,repeated branded name,12,1
official888mafia,🎱🎱🎱MAFIA™️,PHI’D UP CHICAGO,repeated branded name,12,1
tm.journalism21,The Music Journalists T.M.J,Season Four Begins,"recurrence keyword, repeated branded name",12,1
miraakayy,Black Goat🐐🖤,GLOBAL FRIDAYS; Happy Hour,"day-of-week plural, repeated branded name",12,1
liaaaabossinnn,Lia Lewis,Valentine’ Speed Dating; Mixer,repeated branded name,12,1
deejaysharphandz,Brian Allen,R&B WEDNESDAYS; R&b Wednesday (What About Your Friends),"day-of-week plural, repeated branded name",12,5
99._media,Sam Cohen,Evangelina Francisco sets MCCC scoring record; Evangelina Francisco named NJCAA Region 19 Player of the Week,repeated branded name,12,1
photo_man_barnes,Photo Man Barnes,New Year’s celebration,repeated branded name,12,2
mc.kin2fit,McKinney Myricks,BMR Dallas Meetup,repeated branded name,12,2
luv_free_shabazz,Shamsiddin Sundiata Supreme Shabazz,TRI Community Writers Block Writing Workshop & Community Discussion,repeated branded name,12,2
dvinewineseries,D’vine Wine Series,Wine Night,repeated branded name,12,3
dj_blvdskino,DjBlvd Skino,Birthday Celebration,repeated branded name,12,1
jos_blank_canvas,"JO (LIVE SIS! THIS TIME, YOUR WAY! )",OUT & VIBE WEDNESDAYS; Out & Vibe Wednesdays,day-of-week plural,12,2
fixitpromobile,FixItProMobile 🛠️📱,Xfinity WiFi,repeated branded name,12,1
uzmabell,Uzma Bell,Book your next event; Galentine's Day Partner Pose Series,"recurrence keyword, repeated branded name",12,2
ladieslovebrunchkekoon,LADIES LOVE BRUNCH,LADIES LOVE BRUNCH,repeated branded name,12,6
poetry215website,POETRY215.COM,You Gotta Love It Open Mic,repeated branded name,12,2
nasser__nj,Nasser 🦁🎶,El fincho parchamos con la M; Con Nasser NJ,repeated branded name,12,1
exotic.cocktailss,𝐄𝐗𝐎𝐓𝐈𝐂 𝐂𝐎𝐂𝐊𝐓𝐀𝐈𝐋𝐒🥤,"UNA NOCHE EN MEDELLÍN🇨🇴, COMUNA 13 EDITION🔥",repeated branded name,12,2
creators_village,CREATORS VILLAGES,PLAQUE PARTY GOLD STANDARD GROWTH: THE 100K CREATOR EXPERIENCE,repeated branded name,12,3
yafavoritegirl,LeeeBanga🖤✨,"THREE, TWO, ONE THURSDAYS; The Link Up; Three, Two, One Thursdays","day-of-week plural, repeated branded name",11,3
fightfactorywrestling,FIGHT FACTORY WRESTLING,THE WAR ON THE SHORE 3; The War On The Shore 3,repeated branded name,11,4
jcrestaurantownerscoalition,,JC Restaurant Owners Industry Night,repeated branded name,11,2
bks.bestkeptsecret,BEST KEPT SECRET,WOMEN'S HISTORY MONTH CELEBRATION; Women's History Month Celebration,repeated branded name,11,5
circlesforhealingllc,Circles for Healing Consulting LLC,Lessons Between the Lines: Book Signing & Listening Experience,repeated branded name,11,2
cheja_tucker,Cheja Tucker,The Blockest Comedy Tour,repeated branded name,10,1
bronzebar_nj,Bronze Bar,Brazilian Tanning,repeated branded name,10,1
killsing,,Turn My Swag On Y2K Skate Party,repeated branded name,10,1
sonicroomservice,SRS,Afroheat: A Night in Jersey LIVE SRS Recording,repeated branded name,10,1
officialdusse,WASIU ALABI OGANLA JR | DJ DUSSE | OPEN FORMAT DJ 🎶| CHICAGO📍,A NIGHT OF JEALOUSY 2; PRETTY GIRLS LOVE FAAJI FRIDAYS,"day-of-week plural, repeated branded name",10,2
be5d_band,Be5D,Be5D Debut - Bob Weir Tribute,repeated branded name,10,1
vivolounge,Vivo Closed,NUESTRAS NOCHES Grand Opening,repeated branded name,10,1
dineinaflash,VANESSA | FOOD & LIFESTYLE GUIDE,LATE NIGHT SATURDAYS; Late Night Saturdays,day-of-week plural,10,1
popcornparkanimalrefuge,Popcorn Park Animal Refuge,Save-A-Life Sweepstakes,repeated branded name,10,2
keycuts,New Jersey’s Best Barber Shop in Montclair,Grabbing the Hammer Lane: A Trucker Narrative,repeated branded name,10,1
otr_battleleague,POE,DIE BY THE MIC 2,repeated branded name,10,1
whatsgoodwithisaiah,What’s Good with Isaiah,What’s Good with Isaiah YouTube Episode,repeated branded name,10,1
girlsleadership,Girls Leadership,Parent Survey,repeated branded name,10,1
degorojaz,D3GO*,DANCE PARTY FOR IMMIGRANT RIGHTS,repeated branded name,10,1
isolation_fitness,Isolation Fitness (servicing Metuchen & Edison),Wellness Open House,repeated branded name,10,1
djtsnj,༒♛ EL COLOMBIANITO ♛༒,DJ Wallah's Birthday Celebration,repeated branded name,10,1
mrliteskinrockz,FRANK WHITE.,DJWallah’s VIP Birthday Event,repeated branded name,10,1
jvsper1,Da Baddest Bitch,Jvsper1 7 Year Hair Anniversary Celebration,repeated branded name,10,1
zackdipietro,DIPIETRO,Zack DiPietro & Zac Dean,repeated branded name,10,1
come_zen_with_me,ZENPRINCESS,Taco Tuesday,repeated branded name,10,1
blueflickerband,Blue Flicker,Blue Flicker Live,repeated branded name,10,1
djafrosia,DJ Afrosia,DJ Set at Office Hours R&B Only,repeated branded name,10,1
cafe.erzulie,Cafe Erzulie,Peppa party,repeated branded name,10,1
thenfcc,NFCC,LIVE FINANCIAL CHALLENGE SESSION FEATURING NFCC'S BRUCE MCCLARY & BARRY COLEMAN,repeated branded name,10,1
jeffaugerphotog,Jeffrey Auger Photography,Get The Led Out concert,repeated branded name,10,1
natcruzmusic,Natalie Cruz,GRWN & SEXY WATERPARK TAKEOVA Valentine's Day Party,repeated branded name,10,1
zamijeaylivepage,,ZAMIJEA LIVEPAGE BIRTHDAY CELEBRATION,repeated branded name,10,1
kiiingnel_,Nelz,Kiiingnel Bday Celebration,repeated branded name,10,1
tishamonee,Latisha Cooper | Emotional Awareness Coach,"STILL I BLOSSOM A Guided Conversation on Love, Healing & Relationships",repeated branded name,10,1
chathamnjnewcomers,Chatham Newcomers & Social Club,Book Club,repeated branded name,10,1
worldmusicviews,WMV®,Miami Heat Caribbean Heritage Night,repeated branded name,10,1
notorious_vsl,Notorious Visuals©️,KOLDKILLA,repeated branded name,10,1
culturechange2020,CULTURE CHANGE,PARK CARE SERIES: PARK CLEAN UP; PARK CARE SERIES: BEAUTIFICATION PHASE; PARK CARE SERIES: BEAUTIFICATION; Park Care Series: Park Clean Up; Park Care Series: Beautification Phase,recurrence keyword,10,3
tsu.ent,Tsu Entertainment,SMOOTH ICE,repeated branded name,10,1
iputongraphics,,Karaoke Game Night,repeated branded name,10,1
beautiful_as_usual,SHAHARAZOD NOBLE,FEEL GOOD FRIDAYS - HAPPY HOUR; FEEL GOOD FRIDAYS; Feel Good Fridays - Happy Hour; Feel Good Fridays,day-of-week plural,10,2
moversandshakers856,〽️OVERS & 💲HAKERS 🆚 @EVERYBODY,TACO & TEQUILA R&B TUESDAYS; Taco & Tequila R&B Tuesdays,day-of-week plural,10,2
capoeirarestaurant,Capoeira Restaurant,Valentine’s Day Dinner,repeated branded name,10,2
pakatheplug,,Pappy Natson - Unreleased (EP),repeated branded name,10,1
p.9.6,Project 96,Afcon Finals Watch Party,repeated branded name,10,1
sobsnyc,SOB’s,BANGERS & MASHUPS,repeated branded name,10,1
nycdjchad,Chad Singh,Bollywood Brunch,repeated branded name,10,1
saphireoshun,Saphire Oshun,My Funny Valentine’s Edition of YVOB,repeated branded name,10,1
norequests.official,MRS. ALL-IN,LIVE MUSIC FRIDAYS; Live Music Fridays,day-of-week plural,10,1
akwasi_afrotaco,Akwasi Yeboah,OLD SCHOOL VS NEW SCHOOL,repeated branded name,10,1
buildingherdreams,Building Her Dreams #Community,Building Her Dreams Galentine’s Networking Event,repeated branded name,10,1
